src_port,dst_port,window_size,tcp_flags,packet_size,num_options,has_MSS,has_WScale,has_NOP,has_SAckOK,has_Timestamp,has_UTO,has_EOL,mss_value,has_standard_mss,wscale_value,timestamp_val,timestamp_echo,has_zero_timestamp,option_sequence_hash,has_4_options,has_5_options,src_port_range,dst_port_range,avg_interval,std_interval,min_interval,max_interval,interval_regularity,interval_coefficient_variation,pattern_diversity,total_syn_packets,label,pcap_file
35481,8080,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
48101,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,7957693,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
64639,8443,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
42847,8080,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,4211652,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
37919,8443,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,5688018,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
35004,8443,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
43003,443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,4563276,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
63823,143,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,9425146,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
34677,8443,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,5144881,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
46418,80,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,4296234,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
64181,443,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
33992,8080,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
39867,8080,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,5795598,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
38820,143,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
63219,8443,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,5539951,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
62369,8443,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,5356946,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
55421,143,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,3573787,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
52803,995,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,4301279,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
51609,25,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
62808,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,6898333,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
46717,27017,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,9390200,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
60631,8443,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,7031580,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
65095,80,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
